,Country/Territory,2000,2011,2021,Latitude,Longitude
0,Afghanistan,0.0,13733.0,18579.7,33.7680065,66.2385139
1,Albania,1887.0,2172.4,2103.0,41.000028,19.9999619
2,Algeria,0.0,22619.9,27196.2,28.0000272,2.9999825
3,Andorra,0.0,64.5,57.8,42.5407167,1.5732033
4,Angola,0.0,8362.6,14503.2,-11.8775768,17.5691241
5,Antigua and Barbuda,0.0,56.5,68.6,17.2234721,-61.9554608
6,Argentina,22831.0,26264.8,29757.1,-34.9964963,-64.9672817
7,Armenia,0.0,2138.6,2087.5,40.7696272,44.6736646
8,Australia,13131.0,15947.3,18168.8,-24.7761086,134.755
9,Austria,6041.0,6286.0,6778.6,47.2000338,13.199959
10,Azerbaijan,0.0,6398.9,7058.0,40.3936294,47.7872508
11,Bahamas,183.0,235.9,274.7,24.7736546,-78.0000547
12,Bahrain,381.0,986.2,1328.4,26.1551249,50.5344606
13,Bangladesh,83797.0,87708.1,105257.8,24.4768783,90.2932426
14,Barbados,184.0,199.3,208.3,13.1500331,-59.5250305
15,Belarus,0.0,7239.1,6981.8,53.4250605,27.6971358
16,Belgium,7458.0,7768.5,8347.7,50.6402809,4.6667145
17,Belize,116.0,169.7,244.3,16.8259793,-88.7600927
18,Benin,0.0,4133.9,5874.4,9.5293472,2.2584408
19,Bhutan,0.0,443.2,509.0,27.549511,90.5119273
20,Bosnia and Herzegovina,0.0,2875.6,2506.8,44.3053476,17.5961467
21,Botswana,0.0,1146.9,1361.6,-23.1681782,24.5928742
22,Brazil,102431.0,127994.8,149916.8,-10.3333333,-53.2
23,Bulgaria,6142.0,5744.6,5227.1,42.6073975,25.4856617
24,Burkina Faso,0.0,7421.6,9587.0,12.0753083,-1.6880314
25,Burundi,0.0,4352.5,5434.6,-3.3634357,29.8870575
26,Cabo Verde,0.0,280.9,351.3,16.0000552,-24.0083947
27,Cambodia,0.0,8079.6,10169.2,13.5066394,104.869423
28,Cameroon,6822.0,9676.4,12827.9,4.6125522,13.1535811
29,Canada,21389.0,25140.9,28352.3,61.0666922,-107.9917071
30,Central African Republic,0.0,2179.8,2176.2,7.0323598,19.9981227
31,Chad,0.0,2179.8,7131.9,15.6134137,19.0156172
32,Chile,9405.0,11680.5,13762.5,-31.7613365,-71.3187697
33,China,847913.0,968974.9,1079960.8,35.000074,104.999927
34,Colombia,23967.0,28724.0,34882.8,2.8894434,-73.783892
35,Costa Rica,2286.0,3075.6,3603.3,10.2735633,-84.0739102
36,Croatia,3306.0,3313.6,3058.7,45.5643442,17.0118954
37,Cuba,7821.0,8264.8,8459.2,23.0131338,-80.8328748
38,Cyprus,518.0,809.0,900.4,34.9823018,33.1451285
39,Czechia,7624.0,8049.5,8058.7,49.8167003,15.4749544
40,Denmark,3853.0,3989.7,4243.7,55.670249,10.3333283
41,Djibouti,0.0,481.0,618.6,11.8145966,42.8453061
42,Dominica,39.0,42.7,47.6,19.0974031,-70.3028026
43,Dominican Republic,4797.0,5846.8,6832.4,19.0974031,-70.3028026
44,Ecuador,6934.0,8692.6,11175.2,-1.3397668,-79.3666965
45,Egypt,36388.0,48305.2,59379.9,26.2540493,29.2675469
46,El Salvador,3337.0,3449.4,4095.7,13.8000382,-88.9140683
47,Equatorial Guinea,0.0,3449.4,782.9,1.613172,10.5170357
48,Eritrea,0.0,2595.5,1718.3,15.9500319,37.9999668
49,Estonia,1014.0,1001.3,960.0,58.7523778,25.3319078
50,Eswatini,0.0,589.3,600.9,-26.5624806,31.3991317
51,Ethiopia,26985.0,39916.6,57503.7,10.2116702,38.6521203
52,Fiji,463.0,531.7,560.2,-18.1239696,179.0122737
53,Finland,3731.0,3907.8,4061.1,63.2467777,25.9209164
54,France,41927.0,44329.0,46024.0,46.603354,1.8883335
55,Gabon,612.0,812.0,1217.0,-0.8999695,11.6899699
56,Gambia,652.0,802.9,1126.4,13.470062,-15.4900464
57,Georgia,3379.0,3155.2,2803.6,32.3293809,-83.1137366
58,Germany,61874.0,62810.3,62027.7,51.0834196,10.4234469
59,Ghana,9168.0,12655.5,16732.9,8.0300284,-1.0800271
60,Greece,7991.0,8695.7,7658.6,38.9953683,21.9877132
61,Grenada,58.0,63.6,76.2,12.1360374,-61.6904045
62,Guatemala,5079.0,6936.9,10099.3,15.6356088,-89.8988087
63,Guinea,0.0,4722.8,6146.5,10.7226226,-10.7083587
64,Guinea-Bissau,0.0,739.7,956.8,12.100035,-14.9000214
65,Guyana,514.0,422.6,489.0,4.8417097,-58.6416891
66,Haiti,3861.0,5369.9,6581.8,19.1399952,-72.3570972
67,Holy See,0.0,,0.6,38.9247244,-77.06572732690151
68,Honduras,3029.0,4007.6,5887.6,15.2572432,-86.0755145
69,Hungary,7431.0,7520.8,7309.6,47.1817585,19.5060937
70,Iceland,187.0,222.2,242.7,64.9841821,-18.1059013
71,India,567714.0,737003.3,893910.0,22.3511148,78.6677428
72,Indonesia,124758.0,154277.6,179720.5,-2.4833826,117.8902853
73,Iraq,10945.0,15068.7,21391.1,33.0955793,44.1749775
74,Ireland,2514.0,3152.1,3474.7,52.865196,-7.9794599
75,Israel,3821.0,4707.8,5407.2,31.5313113,34.8667654
76,Italy,43910.0,45637.1,45153.7,42.6384261,12.674297
77,Jamaica,1484.0,1641.5,1991.4,18.1152958,-77.1598454610168
78,Japan,95849.0,95340.6,93187.4,36.5748441,139.2394179
79,Jordan,3129.0,3268.4,5854.1,31.1667049,36.941628
80,Kazakhstan,10059.0,10662.7,11949.4,47.2286086,65.2093197
81,Kenya,13334.0,19425.8,27783.4,1.4419683,38.4313975
82,Kuwait,1084.0,1868.9,3152.8,29.2733964,47.4979476
83,Kyrgyzstan,2537.0,3142.1,3908.1,41.5089324,74.724091
84,Latvia,0.0,1709.9,1353.3,56.8406494,24.7537645
85,Lebanon,1875.0,2788.6,4449.4,33.8750629,35.843409
86,Liberia,0.0,1900.3,2518.2,5.7499721,-9.3658524
87,Libya,2784.0,3875.0,4425.1,26.8234472,18.1236723
88,Liechtenstein,0.0,26.7,27.8,47.1416307,9.5531527
89,Lithuania,2603.0,2470.2,1976.1,55.3500003,23.7499997
90,Luxembourg,316.0,375.3,475.9,49.8158683,6.1296751
91,Madagascar,7249.0,9770.3,13919.8,-18.9249604,46.4416422
92,Malawi,0.0,6563.5,8982.4,-13.2687204,33.9301963
93,Malaysia,12291.0,17402.7,22130.9,4.5693754,102.2656823
94,Maldives,0.0,198.9,404.7,4.7064352,73.3287853
95,Mali,4685.0,6660.7,8714.9,16.3700359,-2.2900239
96,Malta,273.0,316.0,336.3,35.8885993,14.4476911
97,Mauritania,0.0,1756.4,2386.6,20.2540382,-9.2399263
98,Mauritius,753.0,898.9,943.4,-20.2759451,57.5703566
99,Mexico,55174.0,69324.0,83741.6,19.4326296,-99.1331785
100,Monaco,0.0,26.1,28.7,43.7323492,7.4276832
101,Mongolia,0.0,1742.0,2042.7,46.8250388,103.8499736
102,Montenegro,0.0,455.1,454.5,42.9868853,19.5180992
103,Morocco,15925.0,19964.6,23992.8,31.1728205,-7.3362482
104,Mozambique,8722.0,10767.4,14317.6,-19.302233,34.9144977
105,Namibia,0.0,1216.3,1375.3,-23.2335499,17.3231107
106,Nepal,0.0,16135.9,17977.5,28.1083929,84.0917139
107,Netherlands,11494.0,12059.2,12631.9,52.5001698,5.7480821
108,New Zealand,2607.0,3040.5,3423.2,-41.5000831,172.8344077
109,Nicaragua,0.0,3163.3,4066.0,12.6090157,-85.2936911
110,Niger,0.0,6511.2,9870.6,17.7356214,9.3238432
111,Nigeria,50671.0,75551.4,96812.4,9.6000359,7.9999721
112,North Macedonia,1369.0,1513.2,1571.6,41.6171214,21.7168387
113,Norway,3127.0,3454.7,3969.6,64.5731537,11.52803643954819
114,Oman,0.0,1810.3,3762.3,21.0000287,57.0036901
115,Pakistan,74491.0,94447.0,123526.4,30.3308401,71.247499
116,Panama,1662.0,2190.8,2779.6,8.559559,-81.1308434
117,Papua New Guinea,2438.0,3553.7,4974.1,-5.6816069,144.2489081
118,Paraguay,2693.0,3648.5,4400.2,-23.3165935,-58.1693445
119,Peru,14217.0,17503.7,22044.0,-6.8699697,-75.0458515
120,Philippines,39787.0,51334.9,66754.4,12.7503486,122.7312101
121,Poland,27136.0,28917.5,28518.0,52.215933,19.134422
122,Portugal,7309.0,8028.8,7640.6,40.0332629,-7.8896263
123,Qatar,398.0,1542.0,2406.6,25.3336984,51.2295295
124,Romania,16339.0,16349.3,14231.4,45.9852129,24.6859225
125,Rwanda,0.0,5147.2,6631.2,-1.9646631,30.0644358
126,Saint Kitts and Nevis,26.0,33.4,35.3,17.250512,-62.6725973
127,Saint Lucia,0.0,111.5,134.5,13.8250489,-60.975036
128,Saint Vincent and the Grenadines,0.0,68.8,75.8,12.90447,-61.2765569
129,San Marino,0.0,23.8,25.4,43.9458623,12.458306
130,Sao Tome and Principe,0.0,81.1,104.3,0.8875498,6.9648718
131,Saudi Arabia,10581.0,17023.2,24194.3,25.6242618,42.3528328
132,Senegal,4219.0,5785.5,8036.7,14.4750607,-14.4529612
133,Serbia,0.0,7177.2,6521.1,44.02432285,21.07657433209902
134,Seychelles,0.0,39.6,67.2,-4.6574977,55.4540146
135,Sierra Leone,0.0,2794.3,3961.1,8.6400349,-11.8400269
136,Singapore,2507.0,3838.9,4767.9,1.357107,103.8194992
137,Slovakia,3784.0,4145.0,4159.0,48.7411522,19.4528646
138,Slovenia,1486.0,1563.1,1553.5,45.8133113,14.4808369
139,Somalia,0.0,4275.7,6917.0,8.3676771,49.083416
140,South Africa,21932.0,30111.8,37416.8,-28.8166236,24.991639
141,South Sudan,0.0,,5432.7,7.8699431,29.6667897
142,Spain,29899.0,34895.6,34841.3,39.3262345,-4.8380649
143,Sri Lanka,11757.0,13893.8,14406.6,7.5554942,80.7137847
144,Sudan,14313.0,22000.2,22054.0,14.5844444,29.4917691
145,Suriname,237.0,329.9,376.7,4.1413025,-56.0771187
146,Sweden,6341.0,6763.9,7259.2,59.6749712,14.5208584
147,Switzerland,5389.0,5707.7,6506.6,46.7985624,8.2319736
148,Thailand,39759.0,49088.0,52223.5,14.8971921,100.83273
149,Timor-Leste,0.0,484.2,689.7,-8.5151979,125.8375756
150,Togo,1991.0,3037.3,4121.1,8.7800265,1.0199765
151,Trinidad and Tobago,809.0,953.0,1005.4,10.8677845,-60.9821067
152,Tunisia,5555.0,7084.3,8046.4,33.8439408,9.400138
153,Turkey,40474.0,47322.4,56658.9,38.9597594,34.9249653
154,Uganda,8405.0,13932.2,20127.6,1.5333554,32.2166578
155,Ukraine,36542.0,34542.8,32683.0,49.4871968,31.2718321
156,United Arab Emirates,0.0,6107.4,8057.1,24.0002488,53.9994829
157,United Kingdom,41638.0,44813.1,48928.0,54.7023545,-3.2765753
158,Uruguay,2166.0,2237.1,2380.4,-32.8755548,-56.0201525
159,Uzbekistan,0.0,16397.4,21349.8,41.32373,63.9528098
160,Zambia,3692.0,5717.3,8441.9,-14.5186239,27.5599164
161,Zimbabwe,5404.0,6164.7,7110.8,-18.4554963,29.7468414
